# energy(eV) alpha
2.464300000000000068e+01 2.011820217270577132e+03
2.469040000000000035e+01 1.971261740833163685e+03
2.473789999999999978e+01 1.930507350817266342e+03
2.478539999999999921e+01 1.933608067397947480e+03
2.483289999999999864e+01 1.936673747389748087e+03
2.488040000000000163e+01 1.939773979468268180e+03
2.492790000000000106e+01 1.942865092031699760e+03
2.497530000000000072e+01 1.945916699285775394e+03
2.502280000000000015e+01 1.949082225423089085e+03
2.507029999999999959e+01 1.952139024254120159e+03
2.511779999999999902e+01 1.955264656467360510e+03
2.516529999999999845e+01 1.958353970314322623e+03
2.521270000000000167e+01 1.961468464499172796e+03
2.526020000000000110e+01 1.964625789938330627e+03
2.530770000000000053e+01 1.967707794643000625e+03
2.535519999999999996e+01 1.970861882478307280e+03
2.540269999999999939e+01 2.063739603093547430e+03
2.545019999999999882e+01 2.066994451884691443e+03
2.549759999999999849e+01 2.070278804191404561e+03
2.554510000000000147e+01 2.028465274701902899e+03
2.559260000000000090e+01 2.031682354885656196e+03
2.564010000000000034e+01 2.080108843255067313e+03
2.568759999999999977e+01 2.083394719514062217e+03
2.573499999999999943e+01 2.086670549945140010e+03
2.578249999999999886e+01 2.180826786002730387e+03
2.582999999999999829e+01 2.184327107556252031e+03
2.587750000000000128e+01 2.187744107943243307e+03
2.592500000000000071e+01 2.191164420586474535e+03
2.597250000000000014e+01 2.194619668698782789e+03
2.601989999999999981e+01 2.198067930799337773e+03
2.606739999999999924e+01 2.293261706928858985e+03
2.611489999999999867e+01 2.296854952238654278e+03
2.616240000000000165e+01 2.346452132061384873e+03
2.620990000000000109e+01 2.350180523187558265e+03
2.625730000000000075e+01 2.353793384861039613e+03
2.630480000000000018e+01 2.449939613293752245e+03
2.635229999999999961e+01 2.453786851833077890e+03
2.639979999999999905e+01 2.457590409149309380e+03
2.644729999999999848e+01 2.554464401801125405e+03
2.649480000000000146e+01 2.558361126900891577e+03
2.654220000000000113e+01 2.608980703948868268e+03
2.658970000000000056e+01 2.659889984544053277e+03
2.663719999999999999e+01 2.757478553024106532e+03
2.668469999999999942e+01 2.761746862907759805e+03
2.673219999999999885e+01 2.859824231463969681e+03
2.677959999999999852e+01 2.911105140255745937e+03
2.682710000000000150e+01 2.915640531104420006e+03
2.687460000000000093e+01 3.061291393047253678e+03
2.692210000000000036e+01 3.113203526007897835e+03
2.696959999999999980e+01 3.212509054461228516e+03
2.701699999999999946e+01 3.312094821883480563e+03
2.706449999999999889e+01 3.364586951362249692e+03
2.711199999999999832e+01 3.417323030415696849e+03
2.715950000000000131e+01 3.565420650142254544e+03
2.720700000000000074e+01 3.570879118343259051e+03
2.725450000000000017e+01 3.719378829418767509e+03
2.730189999999999984e+01 3.772792781287816524e+03
2.734939999999999927e+01 3.922154278672807777e+03
2.739689999999999870e+01 3.976005507394480901e+03
2.744440000000000168e+01 4.078227972728196164e+03
2.749190000000000111e+01 4.228703039492806965e+03
